group,model,trait,item,corrected_item_total_r
AI,gpt-5.4-nano,Emotional_Stability,EST8,0.6995342122147419
AI,gpt-5.4-nano,Emotional_Stability,EST9,0.7919467389724881
AI,gpt-5.4-nano,Emotional_Stability,EST10,0.6720236925790534
AI,gpt-5.4-nano,Agreeableness,AGR1,0.04120987783540026
AI,gpt-5.4-nano,Agreeableness,AGR2,0.043464389921003245
AI,gpt-5.4-nano,Agreeableness,AGR3,0.1578607430394485
AI,gpt-5.4-nano,Agreeableness,AGR4,0.0614529320666772
AI,gpt-5.4-nano,Agreeableness,AGR5,0.3683835633784857
AI,gpt-5.4-nano,Agreeableness,AGR6,0.02332340006259167
AI,gpt-5.4-nano,Agreeableness,AGR7,0.31857450352114397
AI,gpt-5.4-nano,Agreeableness,AGR8,0.010404560651122637
AI,gpt-5.4-nano,Agreeableness,AGR9,-0.026957025868333286
AI,gpt-5.4-nano,Agreeableness,AGR10,0.0555614103779807
AI,gpt-5.4-nano,Conscientiousness,CSN1,0.07025985410936743
AI,gpt-5.4-nano,Conscientiousness,CSN2,0.14421855494271488
AI,gpt-5.4-nano,Conscientiousness,CSN3,0.19022281583609377
AI,gpt-5.4-nano,Conscientiousness,CSN4,0.1838783047597082
AI,gpt-5.4-nano,Conscientiousness,CSN5,0.1038864556374432
AI,gpt-5.4-nano,Conscientiousness,CSN6,0.11726753202798236
AI,gpt-5.4-nano,Conscientiousness,CSN7,0.19089009658610306
AI,gpt-5.4-nano,Conscientiousness,CSN8,0.148806297603927
AI,gpt-5.4-nano,Conscientiousness,CSN9,0.014364078462655118
AI,gpt-5.4-nano,Conscientiousness,CSN10,0.0163198200020742
AI,gpt-5.4-nano,Openness,OPN1,0.2852280519622405
AI,gpt-5.4-nano,Openness,OPN2,0.1048317073569079
AI,gpt-5.4-nano,Openness,OPN3,0.07478937390927122
AI,gpt-5.4-nano,Openness,OPN4,0.13681215798351493
AI,gpt-5.4-nano,Openness,OPN5,0.2142210159468149
AI,gpt-5.4-nano,Openness,OPN6,0.15152594227884844
AI,gpt-5.4-nano,Openness,OPN7,0.006432808991353584
AI,gpt-5.4-nano,Openness,OPN8,0.030170769081258583
AI,gpt-5.4-nano,Openness,OPN9,-0.02931175415124213
AI,gpt-5.4-nano,Openness,OPN10,0.27772722136082906
