item,alpha_if_deleted,group,model,trait
EST1,0.9095792657660073,AI,gpt-5.4-nano,Emotional_Stability
EST2,0.9182795715333516,AI,gpt-5.4-nano,Emotional_Stability
EST3,0.9174538961682933,AI,gpt-5.4-nano,Emotional_Stability
EST4,0.9350588292941477,AI,gpt-5.4-nano,Emotional_Stability
EST5,0.9098950314624108,AI,gpt-5.4-nano,Emotional_Stability
EST6,0.9156115118024853,AI,gpt-5.4-nano,Emotional_Stability
EST7,0.9242470603168638,AI,gpt-5.4-nano,Emotional_Stability
EST8,0.9197365951124733,AI,gpt-5.4-nano,Emotional_Stability
EST9,0.9144147245823224,AI,gpt-5.4-nano,Emotional_Stability
EST10,0.9210997006225965,AI,gpt-5.4-nano,Emotional_Stability
AGR1,0.2833304126018311,AI,gpt-5.4-nano,Agreeableness
AGR2,0.2679085733931275,AI,gpt-5.4-nano,Agreeableness
AGR3,0.22759655491506953,AI,gpt-5.4-nano,Agreeableness
AGR4,0.2701517979860343,AI,gpt-5.4-nano,Agreeableness
AGR5,0.11580739399036134,AI,gpt-5.4-nano,Agreeableness
AGR6,0.27185207709189385,AI,gpt-5.4-nano,Agreeableness
AGR7,0.12709997243776344,AI,gpt-5.4-nano,Agreeableness
AGR8,0.27776725459228513,AI,gpt-5.4-nano,Agreeableness
AGR9,0.3289312100567218,AI,gpt-5.4-nano,Agreeableness
AGR10,0.2690003550035053,AI,gpt-5.4-nano,Agreeableness
CSN1,0.27266651101910244,AI,gpt-5.4-nano,Conscientiousness
CSN2,0.2401075276398464,AI,gpt-5.4-nano,Conscientiousness
CSN3,0.22903168991627815,AI,gpt-5.4-nano,Conscientiousness
CSN4,0.21759229123494714,AI,gpt-5.4-nano,Conscientiousness
CSN5,0.24951066735988714,AI,gpt-5.4-nano,Conscientiousness
CSN6,0.2406633755337479,AI,gpt-5.4-nano,Conscientiousness
CSN7,0.2337445878265117,AI,gpt-5.4-nano,Conscientiousness
CSN8,0.21938555214712252,AI,gpt-5.4-nano,Conscientiousness
CSN9,0.28799307831489507,AI,gpt-5.4-nano,Conscientiousness
CSN10,0.32527249034963024,AI,gpt-5.4-nano,Conscientiousness
OPN1,0.1911437713881184,AI,gpt-5.4-nano,Openness
OPN2,0.2677521415389292,AI,gpt-5.4-nano,Openness
OPN3,0.27560843544138974,AI,gpt-5.4-nano,Openness
OPN4,0.24589598409230545,AI,gpt-5.4-nano,Openness
OPN5,0.25881876589995056,AI,gpt-5.4-nano,Openness
OPN6,0.2305349743669367,AI,gpt-5.4-nano,Openness
OPN7,0.2874567801395663,AI,gpt-5.4-nano,Openness
OPN8,0.30389415305151113,AI,gpt-5.4-nano,Openness
OPN9,0.34833510863609046,AI,gpt-5.4-nano,Openness
OPN10,0.1985322313812909,AI,gpt-5.4-nano,Openness
